Publisher Name,URL,Brand Search Volume,Domain Type,Classifier-A1
ABC 15,abc15.com/,"22,200",Content Focused (CF),Local Publication (LP)
Click 2 Houston,click2houston.com/,"22,200",Content Focused (CF),Local Publication (LP)
The Herald,heraldonline.com/,"22,200",Content Focused (CF),Local Publication (LP)
Indy Star,indystar.com/,"22,200",Content Focused (CF),Local Publication (LP)
KCRA 3,kcra.com/,"22,200",Content Focused (CF),Local Publication (LP)
Kelo,keloland.com/,"22,200",Content Focused (CF),Local Publication (LP)
KNOE,knoe.com/,"22,200",Content Focused (CF),Local Publication (LP)
KSNT,ksnt.com/,"22,200",Content Focused (CF),Local Publication (LP)
Midland Daily News,ourmidland.com/,"22,200",Content Focused (CF),Local Publication (LP)
Shreveport Times,shreveporttimes.com/,"22,200",Content Focused (CF),Local Publication (LP)
Statesman,statesman.com/,"22,200",Content Focused (CF),Local Publication (LP)
Upper Michigan Source,uppermichiganssource.com/,"22,200",Content Focused (CF),Local Publication (LP)
Valley News,valleynewslive.com/,"22,200",Content Focused (CF),Local Publication (LP)
Winona Daily News,winonadailynews.com/,"22,200",Content Focused (CF),Local Publication (LP)
WJHG,wjhg.com/,"22,200",Content Focused (CF),Local Publication (LP)
WLNS,wlns.com/,"22,200",Content Focused (CF),Local Publication (LP)
WSAV,wsav.com/,"22,200",Content Focused (CF),Local Publication (LP)
WTRF,wtrf.com,"22,200",Content Focused (CF),Local Publication (LP)
Arkansas News,arkansasnews.com/,"18,100",Content Focused (CF),Local Publication (LP)
CBS 58,cbs58.com/,"18,100",Content Focused (CF),Local Publication (LP)
Fox 13 Memphis,fox13memphis.com/,"18,100",Content Focused (CF),Local Publication (LP)
Fox 23 News,fox23.com/,"18,100",Content Focused (CF),Local Publication (LP)
KMVT,kmvt.com/,"18,100",Content Focused (CF),Local Publication (LP)
KTVN,ktvn.com/,"18,100",Content Focused (CF),Local Publication (LP)
NBC 2,nbc-2.com/,"18,100",Content Focused (CF),Local Publication (LP)
SF Examiner,sfexaminer.com/,"18,100",Content Focused (CF),Local Publication (LP)
WNCN,wncn.com/,"18,100",Content Focused (CF),Local Publication (LP)
WPBF,wpbf.com/,"18,100",Content Focused (CF),Local Publication (LP)
KGAN,cbs2iowa.com/,"18,100",Content Focused (CF),Local Publication (LP)
Columbus Telegram,columbustelegram.com/,"18,100",Content Focused (CF),Local Publication (LP)
Idaho News,idahonews.com/,"18,100",Content Focused (CF),Local Publication (LP)
TDN,tdn.com/,"18,100",Content Focused (CF),Local Publication (LP)
Trib Live,triblive.com/,"18,100",Content Focused (CF),Local Publication (LP)
Citizen Tribune,citizentribune.com/,"18,100",Content Focused (CF),Local Publication (LP)
Juneau Empire,juneauempire.com/,"18,100",Content Focused (CF),Local Publication (LP)
KARK,kark.com/,"18,100",Content Focused (CF),Local Publication (LP)
KMVT,kmvt.com/,"18,100",Content Focused (CF),Local Publication (LP)
KYMA,kyma.com/,"18,100",Content Focused (CF),Local Publication (LP)
News Center Maine,newscentermaine.com/,"18,100",Content Focused (CF),Local Publication (LP)
Post Independent,postindependent.com/,"18,100",Content Focused (CF),Local Publication (LP)
Daily Comet,dailycomet.com/,"14,800",Content Focused (CF),Local Publication (LP)
KDRV,kdrv.com/,"14,800",Content Focused (CF),Local Publication (LP)
KEYC,keyc.com/,"14,800",Content Focused (CF),Local Publication (LP)
KJRH,kjrh.com/,"14,800",Content Focused (CF),Local Publication (LP)
